SOrg.	DChl	Material	Material Number	Clt	MTyp	EAN/UPC	Plnt
101	11	000000000000008671	DEFIANCE (DVD) OTH	X	ZDVD	6004416052237	111
101	10	000000000000008671	DEFIANCE (DVD) OTH	X	ZDVD	6004416052237	111
101	11	000000000000008670	UNTOLD , THE (DVD) OTH	X	ZDVD	6004416052282	111
101	10	000000000000008670	UNTOLD , THE (DVD) OTH	X	ZDVD	6004416052282	111
101	11	000000000000008669	WENDIGO (DVD) OTH	X	ZDVD	6004416052367	111
101	10	000000000000008669	WENDIGO (DVD) OTH	X	ZDVD	6004416052367	111
101	11	000000000000008666	HOURS , THE (DVD) OTH	X	ZDVD	6004416052251	111
101	10	000000000000008666	HOURS , THE (DVD) OTH	X	ZDVD	6004416052251	111
101	11	000000000000008665	FOUR FEATHERS , THE (DVD) OTH	X	ZDVD	6004416052411	111
101	10	000000000000008665	FOUR FEATHERS , THE (DVD) OTH	X	ZDVD	6004416052411	111
101	11	000000000000008664	SERIAL KILLER (DVD) OTH	X	ZDVD	6004416052299	111
101	10	000000000000008664	SERIAL KILLER (DVD) OTH	X	ZDVD	6004416052299	111
101	11	000000000000008662	FIGHT,THE (DVD) OTH	X	ZDVD	6004416052350	111
101	10	000000000000008662	FIGHT,THE (DVD) OTH	X	ZDVD	6004416052350	111
101	11	000000000000008661	RULES OF ATTRACTION (DVD) OTH	X	ZDVD	6004416052244	111
101	10	000000000000008661	RULES OF ATTRACTION (DVD) OTH	X	ZDVD	6004416052244	111
101	11	000000000000008659	HUNTED ,THE (DVD) OTH	X	ZDVD	6004416052381	111
101	10	000000000000008659	HUNTED ,THE (DVD) OTH	X	ZDVD	6004416052381	111
101	11	000000000000008658	CHARLIE'S ANGELS 2 (DVD) - SPHE	X	ZDVD	5035822271265	111
101	10	000000000000008658	CHARLIE'S ANGELS 2 (DVD) - SPHE	X	ZDVD	5035822271265	111
101	11	000000000000008653	DADDY DAY CARE (DVD) - SPHE	X	ZDVD	6004416052435	111
101	10	000000000000008653	DADDY DAY CARE (DVD) - SPHE	X	ZDVD	6004416052435	111
101	11	000000000000008608	PIPE DREAMS (DVD) OTH	X	ZDVD	6004416050585	111
101	10	000000000000008608	PIPE DREAMS (DVD) OTH	X	ZDVD	6004416050585	111
101	11	000000000000008607	WATER'S EDGE (DVD) OTH	X	ZDVD	6004416050578	111
101	10	000000000000008607	WATER'S EDGE (DVD) OTH	X	ZDVD	6004416050578	111
101	11	000000000000008601	PINOCCHIO (DVD) OTH	X	ZDVD	6004416050561	111
101	10	000000000000008601	PINOCCHIO (DVD) OTH	X	ZDVD	6004416050561	111
101	10	000000000000007307	ROAD TO ELDORADO (DVD) DREAMWORKS	X	ZDVD	6004416068108	111
101	11	000000000000007159	DO NOT USE - SHANGHAI NOON (DVD) OTH	X	ZDVD	6004416038835	111
101	10	000000000000007159	DO NOT USE - SHANGHAI NOON (DVD) OTH	X	ZDVD	6004416038835	111
101	11	000000000000008819	DIRTY PRETTY THINGS (DVD) OTH	X	ZDVD	6004416054163	111
101	10	000000000000008819	DIRTY PRETTY THINGS (DVD) OTH	X	ZDVD	6004416054163	111
101	11	000000000000008818	BLUE CAR  (DVD) OTH	X	ZDVD	6004416054224	111
101	10	000000000000008818	BLUE CAR  (DVD) OTH	X	ZDVD	6004416054224	111
101	10	000000000000008979	PROPHECY 3 (DVD) OTH	X	ZDVD	6004416056167	111
101	11	000000000000008979	PROPHECY 3 (DVD) OTH	X	ZDVD	6004416056167	111
101	10	000000000000008991	DECOYS (DVD) OTH		ZDVD	6004416056228	111
101	11	000000000000008991	DECOYS (DVD) OTH		ZDVD	6004416056228	111
101	10	000000000000008993	SPY KIDS 3D (DVD) OTH	X	ZDVD	6004416056235	111
101	11	000000000000008993	SPY KIDS 3D (DVD) OTH	X	ZDVD	6004416056235	111
101	10	000000000000008995	TOUGH LUCK (DVD)OTH	X	ZDVD	6004416056297	111
101	11	000000000000008995	TOUGH LUCK (DVD)OTH	X	ZDVD	6004416056297	111
101	10	000000000000009001	NIGHTSTALKER (DVD)OTH	X	ZDVD	6004416056884	111
101	11	000000000000009001	NIGHTSTALKER (DVD)OTH	X	ZDVD	6004416056884	111
101	10	000000000000009041	PERFECT HUSBAND (DVD) OTH		ZDVD	6004416059595	111
101	11	000000000000009041	PERFECT HUSBAND (DVD) OTH		ZDVD	6004416059595	111
101	10	000000000000009052	SCARY MOVIE 3 (DVD) OTH	X	ZDVD	6004416056464	111
101	11	000000000000009052	SCARY MOVIE 3 (DVD) OTH	X	ZDVD	6004416056464	111
101	10	000000000000009053	I'LL BE THERE (DVD)OTH	X	ZDVD	6004416056532	111
101	11	000000000000009053	I'LL BE THERE (DVD)OTH	X	ZDVD	6004416056532	111
101	10	000000000000009054	SEABISCUIT (DVD) OTH		ZDVD	6004416056501	111
101	11	000000000000009054	SEABISCUIT (DVD) OTH		ZDVD	6004416056501	111
101	10	000000000000009126	THERE'S A ZULU ON MY STOEP (DVD) OTH	X	ZDVD	6004416056631	111
101	11	000000000000009126	THERE'S A ZULU ON MY STOEP (DVD) OTH	X	ZDVD	6004416056631	111
